[Header]																																																																									
GSGX Version	1.9.0																																																																								
Report Date	4.4.2013 12:36:12																																																																								
Project	40413																																																																								
Group Set	40413																																																																								
Analysis	040413_nonorm_nobkgd																																																																								
Normalization	none																																																																								
[Control Probe Profile]																																																																									
TargetID	ProbeID	9269324046_A.AVG_Signal	9269324046_A.NARRAYS	9269324046_A.ARRAY_STDEV	9269324046_A.BEAD_STDERR	9269324046_A.Avg_NBEADS	9269324046_A.Detection Pval	9269324046_B.AVG_Signal	9269324046_B.NARRAYS	9269324046_B.ARRAY_STDEV	9269324046_B.BEAD_STDERR	9269324046_B.Avg_NBEADS	9269324046_B.Detection Pval	9269324046_C.AVG_Signal	9269324046_C.NARRAYS	9269324046_C.ARRAY_STDEV	9269324046_C.BEAD_STDERR	9269324046_C.Avg_NBEADS	9269324046_C.Detection Pval	9269324046_D.AVG_Signal	9269324046_D.NARRAYS	9269324046_D.ARRAY_STDEV	9269324046_D.BEAD_STDERR	9269324046_D.Avg_NBEADS	9269324046_D.Detection Pval	9269324046_E.AVG_Signal	9269324046_E.NARRAYS	9269324046_E.ARRAY_STDEV	9269324046_E.BEAD_STDERR	9269324046_E.Avg_NBEADS	9269324046_E.Detection Pval	9269324046_F.AVG_Signal	9269324046_F.NARRAYS	9269324046_F.ARRAY_STDEV	9269324046_F.BEAD_STDERR	9269324046_F.Avg_NBEADS	9269324046_F.Detection Pval	9269324046_G.AVG_Signal	9269324046_G.NARRAYS	9269324046_G.ARRAY_STDEV	9269324046_G.BEAD_STDERR	9269324046_G.Avg_NBEADS	9269324046_G.Detection Pval	9269324046_H.AVG_Signal	9269324046_H.NARRAYS	9269324046_H.ARRAY_STDEV	9269324046_H.BEAD_STDERR	9269324046_H.Avg_NBEADS	9269324046_H.Detection Pval	9269324046_I.AVG_Signal	9269324046_I.NARRAYS	9269324046_I.ARRAY_STDEV	9269324046_I.BEAD_STDERR	9269324046_I.Avg_NBEADS	9269324046_I.Detection Pval	9269324046_J.AVG_Signal	9269324046_J.NARRAYS	9269324046_J.ARRAY_STDEV	9269324046_J.BEAD_STDERR	9269324046_J.Avg_NBEADS	9269324046_J.Detection Pval	9269324046_K.AVG_Signal	9269324046_K.NARRAYS	9269324046_K.ARRAY_STDEV	9269324046_K.BEAD_STDERR	9269324046_K.Avg_NBEADS	9269324046_K.Detection Pval	9269324046_L.AVG_Signal	9269324046_L.NARRAYS	9269324046_L.ARRAY_STDEV	9269324046_L.BEAD_STDERR	9269324046_L.Avg_NBEADS	9269324046_L.Detection Pval
BIOTIN	5090180	23692.8	1	NaN	954.362	23	0	22007	1	NaN	680.789	22	0	20167.8	1	NaN	497.605	18	0	20399.5	1	NaN	800.892	18	0	19227.3	1	NaN	768.669	26	0	20571.7	1	NaN	687.471	22	0	18005.8	1	NaN	513.632	30	0	20921.1	1	NaN	751.909	21	0	19860.8	1	NaN	503.487	30	0	19836.2	1	NaN	687.569	18	0	20097.3	1	NaN	556.896	18	0	19357.1	1	NaN	951.64	15	0
BIOTIN	6510136	14868.3	1	NaN	529.932	31	0	13261.5	1	NaN	498.91	22	0	13022.3	1	NaN	437.899	18	0	13088.4	1	NaN	676.984	18	0	14350.4	1	NaN	586.199	10	0	12584.9	1	NaN	272.875	14	0	11230.1	1	NaN	182.126	15	0	14454.9	1	NaN	557.064	21	0	14696.4	1	NaN	626.883	16	0	14143.5	1	NaN	491.358	19	0	13590.3	1	NaN	499.223	16	0	11644.4	1	NaN	662.422	15	0
CY3_HYB	1110170	30328.9	1	NaN	884.934	24	0	26183.3	1	NaN	755.815	22	0	24297	1	NaN	621.401	33	0	25022.8	1	NaN	884.21	23	0	24601.1	1	NaN	880.075	18	0	25169.1	1	NaN	815.42	12	0	21963.7	1	NaN	542.589	20	0	25706.5	1	NaN	874.476	22	0	25509.9	1	NaN	1030.427	22	0	25591.4	1	NaN	729.075	17	0	24052.2	1	NaN	716.6	23	0	23858.8	1	NaN	912.658	18	0
CY3_HYB	1450438	479.6	1	NaN	20.21	27	0	412.5	1	NaN	17.442	23	0	391.2	1	NaN	18.317	17	0	418.4	1	NaN	21.395	23	0	389.2	1	NaN	17.769	17	0	432.3	1	NaN	16.066	24	0	372.2	1	NaN	14.592	20	0	454.7	1	NaN	18.69	26	0	459.2	1	NaN	21.927	19	0	471.2	1	NaN	25.529	18	0	403.5	1	NaN	17.497	20	0	516.3	1	NaN	30.309	14	0
CY3_HYB	2510500	4297.7	1	NaN	131.042	15	0	3790.3	1	NaN	99.091	26	0	3718.7	1	NaN	109.861	27	0	3447.8	1	NaN	188.533	13	0	3526.9	1	NaN	97.745	24	0	3558.1	1	NaN	118.753	26	0	3140.3	1	NaN	92.525	36	0	3924.5	1	NaN	187.476	21	0	3658.5	1	NaN	144.502	23	0	3475.1	1	NaN	94.529	24	0	3470.3	1	NaN	170.006	20	0	3676	1	NaN	174.787	21	0
CY3_HYB	4010327	31931.2	1	NaN	951.444	31	0	31465.5	1	NaN	756.992	37	0	31519.6	1	NaN	1023.31	25	0	29438	1	NaN	1272.259	24	0	29367.9	1	NaN	900.084	19	0	28234	1	NaN	700.415	23	0	26762.4	1	NaN	778.299	17	0	30333.3	1	NaN	1008.776	29	0	31224.5	1	NaN	727.614	30	0	31193.8	1	NaN	1171.372	20	0	28141.7	1	NaN	534.172	33	0	27008.2	1	NaN	699.289	29	0
CY3_HYB	4610291	3381	1	NaN	134.322	18	0	3089.3	1	NaN	186.076	23	0	2803.7	1	NaN	85.645	26	0	3018	1	NaN	128.445	23	0	2867.5	1	NaN	100.021	19	0	2798.7	1	NaN	107.822	32	0	2491	1	NaN	92.72	29	0	2969.9	1	NaN	134.777	24	0	2818.4	1	NaN	80.68	23	0	3162.3	1	NaN	144.076	23	0	2747.7	1	NaN	114.121	22	0	3332.6	1	NaN	134.737	19	0
CY3_HYB	7560739	348.6	1	NaN	16.411	25	0	283.3	1	NaN	13.636	29	0	271.8	1	NaN	10.03	22	0	276.8	1	NaN	10.696	28	0	250.5	1	NaN	10.877	20	0	290.2	1	NaN	10.373	18	0	240.3	1	NaN	5.111	22	0	286.5	1	NaN	12.955	22	0	297.7	1	NaN	15.484	22	0	302.1	1	NaN	20.669	23	0	265	1	NaN	15.169	14	0	322	1	NaN	17.159	20	0
ERCC-00002-02	430220	97.2	1	NaN	4.081	13	0.96753	97.8	1	NaN	2.893	25	0.95325	95.7	1	NaN	3.634	21	0.98961	104.1	1	NaN	3.404	21	0.71299	105.7	1	NaN	4.365	16	0.66364	107.1	1	NaN	4.078	24	0.72078	92.4	1	NaN	4.062	19	0.99221	99.6	1	NaN	2.765	24	0.96753	108.7	1	NaN	4.851	16	0.67532	100	1	NaN	3.065	29	0.93247	100.5	1	NaN	3.03	17	0.77532	104.3	1	NaN	3.918	26	0.7
ERCC-00003-01	6370471	103.2	1	NaN	3.18	32	0.75844	101.6	1	NaN	2.959	34	0.82727	103.8	1	NaN	2.993	23	0.75844	103.5	1	NaN	2.784	39	0.74675	105.9	1	NaN	5.651	19	0.65065	109	1	NaN	4.397	22	0.60779	105.8	1	NaN	4.03	24	0.48442	113.1	1	NaN	4.83	34	0.38961	106.5	1	NaN	2.061	23	0.79091	107.2	1	NaN	4.492	23	0.62727	102.8	1	NaN	2.877	27	0.65195	113.4	1	NaN	5.838	24	0.23766
