[Header]																																																																																																															
GSGX Version	1.9.0																																																																																																														
Report Date	4.4.2013 12:24:09																																																																																																														
Project	40413																																																																																																														
Group Set	40413																																																																																																														
Analysis	040413_nonorm_nobkgd																																																																																																														
Normalization	none																																																																																																														
[Group Probe Profile]																																																																																																															
TargetID	ProbeID	9269324046_A.AVG_Signal	9269324046_A.MIN_Signal	9269324046_A.MAX_Signal	9269324046_A.NARRAYS	9269324046_A.ARRAY_STDEV	9269324046_A.BEAD_STDERR	9269324046_A.Avg_NBEADS	9269324046_A.Detection Pval	9269324046_B.AVG_Signal	9269324046_B.MIN_Signal	9269324046_B.MAX_Signal	9269324046_B.NARRAYS	9269324046_B.ARRAY_STDEV	9269324046_B.BEAD_STDERR	9269324046_B.Avg_NBEADS	9269324046_B.Detection Pval	9269324046_C.AVG_Signal	9269324046_C.MIN_Signal	9269324046_C.MAX_Signal	9269324046_C.NARRAYS	9269324046_C.ARRAY_STDEV	9269324046_C.BEAD_STDERR	9269324046_C.Avg_NBEADS	9269324046_C.Detection Pval	9269324046_D.AVG_Signal	9269324046_D.MIN_Signal	9269324046_D.MAX_Signal	9269324046_D.NARRAYS	9269324046_D.ARRAY_STDEV	9269324046_D.BEAD_STDERR	9269324046_D.Avg_NBEADS	9269324046_D.Detection Pval	9269324046_E.AVG_Signal	9269324046_E.MIN_Signal	9269324046_E.MAX_Signal	9269324046_E.NARRAYS	9269324046_E.ARRAY_STDEV	9269324046_E.BEAD_STDERR	9269324046_E.Avg_NBEADS	9269324046_E.Detection Pval	9269324046_F.AVG_Signal	9269324046_F.MIN_Signal	9269324046_F.MAX_Signal	9269324046_F.NARRAYS	9269324046_F.ARRAY_STDEV	9269324046_F.BEAD_STDERR	9269324046_F.Avg_NBEADS	9269324046_F.Detection Pval	9269324046_G.AVG_Signal	9269324046_G.MIN_Signal	9269324046_G.MAX_Signal	9269324046_G.NARRAYS	9269324046_G.ARRAY_STDEV	9269324046_G.BEAD_STDERR	9269324046_G.Avg_NBEADS	9269324046_G.Detection Pval	9269324046_H.AVG_Signal	9269324046_H.MIN_Signal	9269324046_H.MAX_Signal	9269324046_H.NARRAYS	9269324046_H.ARRAY_STDEV	9269324046_H.BEAD_STDERR	9269324046_H.Avg_NBEADS	9269324046_H.Detection Pval	9269324046_I.AVG_Signal	9269324046_I.MIN_Signal	9269324046_I.MAX_Signal	9269324046_I.NARRAYS	9269324046_I.ARRAY_STDEV	9269324046_I.BEAD_STDERR	9269324046_I.Avg_NBEADS	9269324046_I.Detection Pval	9269324046_J.AVG_Signal	9269324046_J.MIN_Signal	9269324046_J.MAX_Signal	9269324046_J.NARRAYS	9269324046_J.ARRAY_STDEV	9269324046_J.BEAD_STDERR	9269324046_J.Avg_NBEADS	9269324046_J.Detection Pval	9269324046_K.AVG_Signal	9269324046_K.MIN_Signal	9269324046_K.MAX_Signal	9269324046_K.NARRAYS	9269324046_K.ARRAY_STDEV	9269324046_K.BEAD_STDERR	9269324046_K.Avg_NBEADS	9269324046_K.Detection Pval	9269324046_L.AVG_Signal	9269324046_L.MIN_Signal	9269324046_L.MAX_Signal	9269324046_L.NARRAYS	9269324046_L.ARRAY_STDEV	9269324046_L.BEAD_STDERR	9269324046_L.Avg_NBEADS	9269324046_L.Detection Pval	SPECIES	SOURCE	SEARCH_KEY	TRANSCRIPT	ILMN_GENE	SOURCE_REFERENCE_ID	REFSEQ_ID	UNIGENE_ID	ENTREZ_GENE_ID	GI	ACCESSION	SYMBOL	PROTEIN_PRODUCT	PROBE_ID
7A5	6450255	106	106	106	1	NaN	1.823	21	0.5961	112.9	112.9	112.9	1	NaN	5.249	17	0.22208	106.7	106.7	106.7	1	NaN	2.772	16	0.58052	110.8	110.8	110.8	1	NaN	5.121	20	0.33766	111.7	111.7	111.7	1	NaN	4.011	30	0.31299	111.7	111.7	111.7	1	NaN	2.806	18	0.44416	100.3	100.3	100.3	1	NaN	2.692	19	0.82078	110.5	110.5	110.5	1	NaN	4.808	18	0.51818	115.8	115.8	115.8	1	NaN	5.077	18	0.29351	107.4	107.4	107.4	1	NaN	3.421	18	0.61818	109.7	109.7	109.7	1	NaN	4.328	26	0.26623	110.4	110.4	110.4	1	NaN	3.729	13	0.36623	Homo sapiens	RefSeq	NM_182762.2	ILMN_183371	7A5	NM_182762.2	NM_182762.2		346389	47271497	NM_182762.2	7A5	NP_877439.2	ILMN_1762337
A1BG	2570615	115.2	115.2	115.2	1	NaN	4.719	22	0.18052	119.4	119.4	119.4	1	NaN	4.997	21	0.08831	114.7	114.7	114.7	1	NaN	5.628	12	0.19481	123	123	123	1	NaN	6.142	24	0.04545	117.5	117.5	117.5	1	NaN	5.023	17	0.13117	133.6	133.6	133.6	1	NaN	5.576	21	0.01688	110.2	110.2	110.2	1	NaN	2.867	25	0.24935	118.8	118.8	118.8	1	NaN	4.167	15	0.17792	122	122	122	1	NaN	4.579	22	0.1	124.9	124.9	124.9	1	NaN	4.647	25	0.04805	111.7	111.7	111.7	1	NaN	2.46	24	0.18571	111.6	111.6	111.6	1	NaN	4.611	13	0.31429	Homo sapiens	RefSeq	NM_130786.2	ILMN_175569	A1BG	NM_130786.2	NM_130786.2		1	21071029	NM_130786.2	A1BG	NP_570602.2	ILMN_2055271
A1BG	6370619	108.8	108.8	108.8	1	NaN	3.686	21	0.44545	108.6	108.6	108.6	1	NaN	4.895	18	0.41558	111.3	111.3	111.3	1	NaN	4.833	19	0.31558	100.8	100.8	100.8	1	NaN	4.128	23	0.88052	124.6	124.6	124.6	1	NaN	9.088	13	0.04156	113.3	113.3	113.3	1	NaN	2.594	18	0.37013	108	108	108	1	NaN	4.145	22	0.34675	115.1	115.1	115.1	1	NaN	4.187	26	0.3026	110.2	110.2	110.2	1	NaN	2.94	26	0.59091	104.7	104.7	104.7	1	NaN	3.841	17	0.75325	103.6	103.6	103.6	1	NaN	4.084	21	0.60779	102.8	102.8	102.8	1	NaN	2.761	20	0.77403	Homo sapiens	RefSeq	NM_130786.2	ILMN_18893	A1BG	NM_130786.2	NM_130786.2		1	21071029	NM_130786.2	A1BG	NP_570602.2	ILMN_1736007
A1CF	2600039	100.4	100.4	100.4	1	NaN	2.913	29	0.88442	104.3	104.3	104.3	1	NaN	3.109	18	0.67792	111.4	111.4	111.4	1	NaN	3.341	22	0.30779	113.3	113.3	113.3	1	NaN	3.427	21	0.22987	107.8	107.8	107.8	1	NaN	3.105	25	0.54675	111.8	111.8	111.8	1	NaN	4.268	22	0.44026	105.5	105.5	105.5	1	NaN	3.358	24	0.5039	120.8	120.8	120.8	1	NaN	3.543	30	0.12987	105.9	105.9	105.9	1	NaN	2.755	22	0.81558	102.1	102.1	102.1	1	NaN	2.99	22	0.86623	108.2	108.2	108.2	1	NaN	4.028	18	0.33377	108.2	108.2	108.2	1	NaN	5.02	21	0.48312	Homo sapiens	RefSeq	NM_138932.1	ILMN_18532	A1CF	NM_138932.1	NM_138932.1		29974	20357574	NM_138932.1	A1CF	NP_620310.1	ILMN_2383229
A1CF	2650615	120.2	120.2	120.2	1	NaN	4.317	12	0.08442	107.7	107.7	107.7	1	NaN	4.194	15	0.46883	124.9	124.9	124.9	1	NaN	5.361	24	0.03766	108.8	108.8	108.8	1	NaN	3.032	22	0.44286	122.2	122.2	122.2	1	NaN	3.954	22	0.05844	114.2	114.2	114.2	1	NaN	7.193	14	0.31948	111	111	111	1	NaN	3.656	20	0.21688	117.4	117.4	117.4	1	NaN	4.299	20	0.21429	117.5	117.5	117.5	1	NaN	4.543	25	0.21948	117.4	117.4	117.4	1	NaN	6.421	15	0.19091	114.3	114.3	114.3	1	NaN	4.769	21	0.12727	119.4	119.4	119.4	1	NaN	5.082	21	0.09221	Homo sapiens	RefSeq	NM_138933.1	ILMN_7300	A1CF	NM_014576.2	NM_014576.2		29974	20357571	NM_014576.2	A1CF	NP_055391.2	ILMN_1806310
A1CF	5340672	101.1	101.1	101.1	1	NaN	3.403	22	0.85974	111.8	111.8	111.8	1	NaN	3.543	23	0.26364	121.3	121.3	121.3	1	NaN	3.148	21	0.06623	110.3	110.3	110.3	1	NaN	4.424	22	0.36494	96.1	96.1	96.1	1	NaN	4.548	18	0.98571	112	112	112	1	NaN	4.123	28	0.43247	102.7	102.7	102.7	1	NaN	2.981	20	0.67532	110	110	110	1	NaN	3.638	19	0.56234	114.4	114.4	114.4	1	NaN	5.144	23	0.37143	114.5	114.5	114.5	1	NaN	3.55	16	0.26883	103.2	103.2	103.2	1	NaN	3.074	20	0.63636	99.6	99.6	99.6	1	NaN	3.016	20	0.8974	Homo sapiens	RefSeq	NM_138933.1	ILMN_165661	A1CF	NM_138933.1	NM_138933.1		29974	20357577	NM_138933.1	A1CF	NP_620311.1	ILMN_1779670
A26C3	2000519	109.5	109.5	109.5	1	NaN	4.559	17	0.4013	116.4	116.4	116.4	1	NaN	5.519	18	0.14026	111.5	111.5	111.5	1	NaN	3.713	20	0.3	106.4	106.4	106.4	1	NaN	4.186	24	0.58701	119.6	119.6	119.6	1	NaN	5.166	22	0.0961	117.2	117.2	117.2	1	NaN	4.431	18	0.2013	112.3	112.3	112.3	1	NaN	4.607	21	0.17532	117.1	117.1	117.1	1	NaN	5.08	17	0.23117	110.1	110.1	110.1	1	NaN	3.651	17	0.59091	107.1	107.1	107.1	1	NaN	3.479	15	0.63377	109.9	109.9	109.9	1	NaN	4.65	24	0.25325	117.8	117.8	117.8	1	NaN	4.505	17	0.11948	Homo sapiens	RefSeq	NM_001005356.1	ILMN_21001	A26C3	NM_001004053.2	NM_001004053.2		23784	126090670	NM_001004053.2	A26C3	NP_001004053.2	ILMN_1653355
A26C3	3870044	95.1	95.1	95.1	1	NaN	3.819	21	0.98961	104.3	104.3	104.3	1	NaN	3.322	24	0.67792	108.2	108.2	108.2	1	NaN	4.795	21	0.48571	103.7	103.7	103.7	1	NaN	3.798	23	0.72857	101.2	101.2	101.2	1	NaN	3.686	25	0.88052	104.8	104.8	104.8	1	NaN	2.774	28	0.80649	97.4	97.4	97.4	1	NaN	3.885	18	0.91818	105	105	105	1	NaN	3.644	25	0.83117	106.1	106.1	106.1	1	NaN	3.554	22	0.80649	102.7	102.7	102.7	1	NaN	4.495	16	0.84805	101.7	101.7	101.7	1	NaN	1.854	11	0.72468	99.8	99.8	99.8	1	NaN	3.411	22	0.89351	Homo sapiens	RefSeq	NM_001004053.1	ILMN_21001	A26C3	NM_001004053.2	NM_001004053.2		23784	126090670	NM_001004053.2	A26C3	NP_001004053.2	ILMN_1717783
A26C3	7050209	112	112	112	1	NaN	3.766	16	0.27532	105	105	105	1	NaN	3.142	23	0.63636	107.9	107.9	107.9	1	NaN	2.806	26	0.5039	102.4	102.4	102.4	1	NaN	2.426	16	0.8026	111.9	111.9	111.9	1	NaN	4.408	16	0.30649	110.1	110.1	110.1	1	NaN	3.415	16	0.53377	110.7	110.7	110.7	1	NaN	4.167	19	0.22597	101	101	101	1	NaN	2.69	21	0.94935	113.8	113.8	113.8	1	NaN	5.091	16	0.4039	111.2	111.2	111.2	1	NaN	7.365	16	0.41429	103.3	103.3	103.3	1	NaN	3.645	14	0.62078	126.3	126.3	126.3	1	NaN	6.141	17	0.02987	Homo sapiens	RefSeq	XM_942354.1	ILMN_21001	A26C3	NM_001004053.2	NM_001004053.2		23784	126090670	NM_001004053.2	A26C3	NP_001004053.2	ILMN_1705025
A2BP1	1580181	109	109	109	1	NaN	3.623	20	0.43896	112	112	112	1	NaN	4.282	25	0.25584	113.6	113.6	113.6	1	NaN	4.51	21	0.22857	109.5	109.5	109.5	1	NaN	4.088	26	0.4039	112.3	112.3	112.3	1	NaN	4.901	20	0.28571	107.6	107.6	107.6	1	NaN	2.596	25	0.7039	113.3	113.3	113.3	1	NaN	5.549	21	0.14416	115.1	115.1	115.1	1	NaN	4.833	20	0.3026	116.8	116.8	116.8	1	NaN	3.289	10	0.24416	113.3	113.3	113.3	1	NaN	6.364	17	0.31299	110.3	110.3	110.3	1	NaN	3.742	24	0.23377	103.4	103.4	103.4	1	NaN	4.04	18	0.74935	Homo sapiens	RefSeq	NM_018723.2	ILMN_9081	A2BP1	NM_145891.1	NM_145891.1		54715	22538404	NM_145891.1	A2BP1	NP_665898.1	ILMN_1814316
